0.13,0.129,0.2,0.151,0.069,0.222,0.22,0.207,0.209,0.19,0.191,0.069,0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.069,0.07,0.07,0.098,0.068,0.034,0.033,0.06,0.032,0.013,0.014,0.006,0.007,0.058,0.032,0.05,0.025
0.13,0.129,0.191,0.157,0.16,0.221,0.219,0.15,0.209,0.189,0.189,0.034,0.07,0,0.07,0.07,0.069,0.07,0.07,0.071,0.07,0.07,0.07,0.069,0.069,0.069,0.123,0.194,0.034,0.034,0.087,0.032,0.037,0.012,0.006,0.007,0.068,0.032,0.069,0.025
0.129,0.13,0.233,0.069,0.069,0.219,0.154,0.209,0.21,0.191,0.19,0.096,0.07,0.07,0,0.069,0.07,0.14,0.15,0.07,0.17,0.07,0.07,0.07,0.07,0.07,0.135,0.27,0.033,0.033,0.128,0.037,0.217,0.07,0.063,0.063,0.337,0.037,0.148,0.043
0.13,0.12,0.2,0.242,0.14,0.217,0.214,0.209,0.209,0.189,0.19,0.069,0.07,0.07,0.069,0,0.13,0.13,0.13,0.131,0.129,0.13,0.13,0.13,0.13,0.13,5.306,5.504,0.082,0.081,8.901,0.084,5.267,0.114,0.073,0.072,5.433,0.088,5.256,0.071
0.13,0.129,0.211,0.168,0.085,0.213,0.213,0.21,0.21,0.19,0.19,0.069,0.07,0.069,0.07,0.13,0,0.07,0.07,0.038,0.102,0.07,0.07,0.07,0.07,0.07,0.242,12.164,0.027,0.027,4.14,0.24,4.102,0.041,0.034,0.034,4.783,0.057,3.774,0.041
0.13,0.131,0.207,0.2,0.123,0.22,0.218,0.209,0.21,0.189,0.19,0.07,0.07,0.07,0.14,0.13,0.07,0,0.071,0.069,0.084,0.056,0.07,0.07,0.07,0.07,0.11,0.178,0.032,0.032,0.083,0.03,0.034,0.018,0.01,0.01,0.119,0.03,0.085,0.025
0.131,0.13,0.201,0.07,0.071,0.22,0.227,0.21,0.21,0.19,0.191,0.071,0.07,0.07,0.15,0.13,0.07,0.071,0,0.07,0.069,0.07,0.07,0.069,0.072,0.068,0.099,0.06,0.02,0.02,0.032,0.02,0.04,0.027,0.02,0.02,0.032,0.018,0.028,0.015
0.129,0.129,0.189,0.24,0.127,0.22,0.202,0.21,0.21,0.189,0.189,0.07,0.07,0.071,0.07,0.131,0.038,0.069,0.07,0,0.07,0.071,0.069,0.07,0.07,0.072,0.123,0.044,0.02,0.021,0.041,0.043,0.041,0.027,0.021,0.02,0.034,0.019,0.029,0.016
0.13,0.132,0.191,0.239,0.069,0.209,0.21,0.202,0.21,0.19,0.19,0.068,0.07,0.07,0.17,0.129,0.102,0.084,0.069,0.07,0,0.072,0.069,0.067,0.091,0.05,0.145,0.167,0.021,0.021,0.046,0.019,0.08,0.027,0.021,0.021,0.042,0.018,0.04,0.016
0.13,0.118,0.202,0.121,0.182,0.21,0.209,0.209,0.21,0.19,0.19,0.07,0.07,0.07,0.07,0.13,0.07,0.056,0.07,0.071,0.072,0,0.07,0.07,0.069,0.07,0.093,0.062,0.03,0.03,0.031,0.02,0.083,0.048,0.072,0.041,0.031,0.02,0.061,0.028
0.126,0.129,0.207,0.149,0.128,0.211,0.209,0.211,0.211,0.13,0.19,0.07,0.071,0.07,0.07,0.13,0.07,0.07,0.07,0.069,0.069,0.07,0,0.07,0.07,0.065,0.144,0.179,0.03,0.03,0.065,0.017,0.141,0.064,0.041,0.041,0.095,0.017,0.217,0.028
0.123,0.131,0.2,0.13,0.07,0.219,0.22,0.209,0.209,0.19,0.191,0.064,0.069,0.069,0.07,0.13,0.07,0.07,0.069,0.07,0.067,0.07,0.07,0,0.074,0.066,0.157,0.186,0.018,0.019,0.083,0.034,0.114,0.034,0.03,0.03,0.255,0.032,0.105,0.045
0.13,0.129,0.2,0.073,0.169,0.219,0.22,0.209,0.211,0.189,0.189,0.066,0.07,0.069,0.07,0.13,0.07,0.07,0.072,0.07,0.091,0.069,0.07,0.074,0,0.07,0.16,0.172,0.018,0.018,0.081,0.033,0.098,0.035,0.03,0.03,0.082,0.032,0.14,0.044
0.13,0.062,0.198,0.138,0.143,0.22,0.22,0.211,0.209,0.19,0.19,0.071,0.07,0.069,0.07,0.13,0.07,0.07,0.068,0.072,0.05,0.07,0.065,0.066,0.07,0,0.102,0.173,0.03,0.029,0.105,0.034,0.221,0.072,0.065,0.064,0.098,0.034,0.208,0.039
0.165,0.185,0.572,0.221,0.233,0.564,0.424,0.486,0.416,0.515,0.434,0.141,0.098,0.123,0.135,5.306,0.242,0.11,0.099,0.123,0.145,0.093,0.144,0.157,0.16,0.102,0,0.235,0.029,0.03,0.115,0.033,0.22,0.071,0.064,0.064,0.121,0.042,0.194,0.039
0.094,0.256,0.433,0.35,0.323,0.636,0.629,0.495,0.494,1.207,0.244,0.245,0.068,0.194,0.27,5.504,12.164,0.178,0.06,0.044,0.167,0.062,0.179,0.186,0.172,0.173,0.235,0,0.182,0.182,0.724,0.187,0.721,0.186,0.176,0.182,0.559,0.187,0.517,0.174
0.047,0.047,0.158,0.358,0.079,0.132,0.133,0.167,0.167,0.372,0.123,0.034,0.034,0.034,0.033,0.082,0.027,0.032,0.02,0.02,0.021,0.03,0.03,0.018,0.018,0.03,0.029,0.182,0,0.18,0.737,0.188,0.727,0.26,0.177,0.178,0.549,0.188,0.692,0.175
0.048,0.048,0.137,0.217,0.061,0.132,0.132,0.169,0.168,0.348,0.128,0.034,0.033,0.034,0.033,0.081,0.027,0.032,0.02,0.021,0.021,0.03,0.03,0.019,0.018,0.029,0.03,0.182,0.18,0,0.561,0.188,0.591,0.209,0.2,0.202,0.763,0.188,0.678,0.172
0.127,0.25,0.429,0.358,0.246,0.52,0.524,0.592,0.591,0.91,0.262,0.111,0.06,0.087,0.128,8.901,4.14,0.083,0.032,0.041,0.046,0.031,0.065,0.083,0.081,0.105,0.115,0.724,0.737,0.561,0,0.188,0.353,0.184,0.179,0.176,0.369,0.202,0.351,0.174
0.066,0.066,0.14,0.131,0.062,0.158,0.157,0.154,0.154,0.6,0.133,0.038,0.032,0.032,0.037,0.084,0.24,0.03,0.02,0.043,0.019,0.02,0.017,0.034,0.033,0.034,0.033,0.187,0.188,0.188,0.188,0,0.075,0.032,0.024,0.024,0.045,0.017,0.05,0.019
0.127,0.244,0.49,0.312,0.189,0.486,0.489,0.613,0.619,1.595,0.264,0.194,0.013,0.037,0.217,5.267,4.102,0.034,0.04,0.041,0.08,0.083,0.141,0.114,0.098,0.221,0.22,0.721,0.727,0.591,0.353,0.075,0,0.04,0.026,0.026,0.294,0.018,0.164,0.022
0.074,0.069,0.174,0.116,0.143,0.149,0.157,0.183,0.19,1.38,0.137,0.086,0.014,0.012,0.07,0.114,0.041,0.018,0.027,0.027,0.027,0.048,0.064,0.034,0.035,0.072,0.071,0.186,0.26,0.209,0.184,0.032,0.04,0,0.024,0.026,0.29,0.019,0.17,0.021
0.065,0.063,0.144,0.108,0.048,0.142,0.141,0.175,0.176,0.41,0.133,0.063,0.006,0.006,0.063,0.073,0.034,0.01,0.02,0.021,0.021,0.072,0.041,0.03,0.03,0.065,0.064,0.176,0.177,0.2,0.179,0.024,0.026,0.024,0,0.138,0.663,0.174,0.393,0.134
0.065,0.062,0.167,0.123,0.103,0.141,0.142,0.182,0.176,0.365,0.132,0.064,0.007,0.007,0.063,0.072,0.034,0.01,0.02,0.02,0.021,0.041,0.041,0.03,0.03,0.064,0.064,0.182,0.178,0.202,0.176,0.024,0.026,0.026,0.138,0,0.343,0.175,0.259,0.131
0.127,0.229,0.632,0.154,0.172,0.788,0.778,0.732,0.731,1.122,0.26,0.132,0.058,0.068,0.337,5.433,4.783,0.119,0.032,0.034,0.042,0.031,0.095,0.255,0.082,0.098,0.121,0.559,0.549,0.763,0.369,0.045,0.294,0.29,0.663,0.343,0,0.174,0.398,0.134
0.066,0.067,0.14,0.071,0.088,0.158,0.158,0.154,0.154,0.134,0.134,0.038,0.032,0.032,0.037,0.088,0.057,0.03,0.018,0.019,0.018,0.02,0.017,0.032,0.032,0.034,0.042,0.187,0.188,0.188,0.202,0.017,0.018,0.019,0.174,0.175,0.174,0,3.305,0.138
0.12,0.223,9.614,0.195,0.216,0.649,0.651,0.555,0.551,1.227,0.238,0.124,0.05,0.069,0.148,5.256,3.774,0.085,0.028,0.029,0.04,0.061,0.217,0.105,0.14,0.208,0.194,0.517,0.692,0.678,0.351,0.05,0.164,0.17,0.393,0.259,0.398,3.305,0,0.06
0.061,0.06,0.205,0.093,0.12,0.133,0.132,0.155,0.154,0.661,0.12,0.039,0.025,0.025,0.043,0.071,0.041,0.025,0.015,0.016,0.016,0.028,0.028,0.045,0.044,0.039,0.039,0.174,0.175,0.172,0.174,0.019,0.022,0.021,0.134,0.131,0.134,0.138,0.06,0
0.369,0.3,0.249,0.276,1.13,0.582,1.022,0.376,0.71,0.404,0.771,0.237,0.229,0.229,0.231,0.239,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.668,0.312,0.136,0.137,0.646,0.175,0.432,0.149,0.142,0.142,0.625,0.175,0.546,0.141
0.573,9.497,0.35,19.839,0.446,0.284,0.511,6.606,0.397,0.244,0.335,0.238,0.221,0.233,0.23,0.22,0.23,0.239,0.229,0.24,0.22,0.231,0.239,0.221,0.229,0.23,0.383,0.272,0.136,0.136,0.345,0.175,0.283,0.149,0.142,0.141,0.345,0.176,0.282,0.142
